,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
87,Fayaoue,64,NC,1553130762,100,-20.65,166.53,80.76,15.37
88,Lasem,20,ID,1553126400,94,-6.99,112.52,80.6,5.82
89,Georgetown,20,GY,1553126400,78,6.8,-58.16,80.6,6.93
90,Liverpool,75,GB,1553130674,87,53.41,-2.98,53.01,5.82
91,Kieta,80,PG,1553130765,98,-6.22,155.63,82.02,3.96
92,Huaicheng,56,CN,1553130765,94,23.91,112.19,66.63,3.06
93,Bambous Virieux,40,MU,1553130542,83,-20.34,57.76,80.6,6.93
94,Bonthe,76,SL,1553130766,87,7.53,-12.5,80.85,5.08
95,Hermanus,44,ZA,1553130010,74,-34.42,19.24,57.99,7.0
96,Padang,40,ID,1553126400,94,-0.92,100.36,77.0,2.24
97,Yellowknife,40,CA,1553126400,60,62.45,-114.38,41.0,13.87
98,Tasiilaq,0,GL,1553125800,31,65.61,-37.64,1.4,9.17
99,Vostok,92,RU,1553130769,82,46.45,135.83,28.47,3.62
100,Waverley,20,AU,1553130758,88,-33.9,151.26,80.01,17.22
101,Chokurdakh,0,RU,1553130769,47,70.62,147.9,-15.99,9.1
102,Sinnamary,100,GF,1553130770,100,5.38,-52.96,78.15,10.22
103,Jumla,92,NP,1553130771,100,29.28,82.18,26.76,1.83
104,Ambon,90,FR,1553130744,87,47.55,-2.56,51.01,5.82
105,Avarua,92,CK,1553128200,74,-21.21,-159.78,86.0,3.36
106,Bathsheba,40,BB,1553126400,69,13.22,-59.52,77.0,12.75
107,Haines Junction,48,CA,1553130772,50,60.75,-137.51,44.85,7.76
108,Provideniya,0,RU,1553128200,46,64.42,-173.23,10.4,8.95
109,Chillicothe,90,US,1553130764,29,39.33,-82.98,55.0,7.43
110,Trincomalee,8,LK,1553130774,90,8.58,81.23,71.04,4.18
111,Anadyr,0,RU,1553128200,75,64.73,177.51,-13.01,17.9
112,Algiers,1,US,1553130614,38,29.94,-90.04,64.0,5.82
113,Naifaru,64,MV,1553130775,96,5.44,73.37,85.35,14.03
114,Barrow,0,AR,1553130775,71,-38.31,-60.23,51.42,5.41
115,Marshall,90,US,1553130728,87,39.39,-87.69,48.0,10.29
116,Clarence Town,75,AU,1553130679,69,-32.59,151.78,79.0,10.29
117,Fjerritslev,64,DK,1553130605,91,57.08,9.27,46.99,8.99
118,Kingaroy,40,AU,1553126400,61,-26.54,151.84,80.6,6.93
119,Ilulissat,0,GL,1553130779,87,69.22,-51.1,-28.32,3.06
120,Seuzach,0,CH,1553130769,74,47.53,8.73,37.99,5.82
121,Zhangjiakou,0,CN,1553130780,67,40.77,114.88,21.99,14.7
122,Camacha,20,PT,1553128200,72,33.08,-16.33,64.4,9.17
123,Turukhansk,92,RU,1553130781,86,65.8,87.96,24.24,19.73
124,Lipany,0,SK,1553130575,79,49.15,20.96,28.4,5.82
125,Boueni,0,YT,1553128200,94,-12.9,45.08,78.8,4.07
126,Barauna,20,BR,1553130783,78,-14.07,-42.49,75.54,6.98
127,La Palma,32,CO,1553130784,88,5.36,-74.39,70.32,1.39
128,Novaya Zaimka,8,RU,1553130784,83,56.49,66.92,11.01,5.53
129,Deputatskiy,0,RU,1553130785,53,69.3,139.9,-19.68,2.73
130,Klaksvik,32,FO,1553129400,86,62.23,-6.59,37.4,21.92
131,Kavieng,56,PG,1553130785,98,-2.57,150.8,84.9,5.97
132,Zhashkiv,0,UA,1553130787,77,49.25,30.1,29.1,4.97
133,Port Elizabeth,90,US,1553130766,75,39.31,-74.98,46.0,8.05
134,Erdenet,76,MN,1553130788,63,49.03,104.04,12.54,2.51
135,Tiksi,76,RU,1553130788,72,71.64,128.87,-2.76,20.07
136,Dingle,20,PH,1553130788,73,11.0,122.67,79.32,13.13
137,Puerto Madryn,0,AR,1553130789,78,-42.77,-65.04,61.23,17.27
138,Lasa,20,CY,1553130047,87,34.92,32.53,55.4,3.36
139,Najran,5,SA,1553126400,32,17.54,44.22,68.0,2.95
140,Kagadi,8,UG,1553130790,92,0.95,30.8,77.61,3.18
141,Baherden,24,TM,1553130791,92,38.44,57.43,38.64,3.18
142,Kaitangata,32,NZ,1553130686,90,-46.28,169.85,67.17,2.95
143,Orlovka,0,KG,1553130791,94,42.75,75.59,24.15,2.84
144,La Romana,20,DO,1553126400,100,18.43,-68.97,77.0,5.41
145,San Policarpo,92,PH,1553130793,100,12.18,125.51,76.62,9.55
146,Batsfjord,75,NO,1553125800,92,70.63,29.72,28.4,6.93
147,Thompson,40,CA,1553126400,52,55.74,-97.86,46.4,8.05
148,Hilo,90,US,1553130511,64,19.71,-155.08,73.99,5.82
149,Victoria Point,40,AU,1553130784,69,-27.58,153.3,87.01,13.87
150,Fresno,75,US,1553130575,71,36.74,-119.78,62.01,9.17
151,Kitimat,75,CA,1553126400,73,54.02,-128.69,62.6,8.05
152,Starokozache,0,UA,1553128200,79,46.34,29.99,35.6,8.95
153,Kyakhulay,36,RU,1553128200,93,42.96,47.48,42.01,4.47
154,Bulgan,48,MN,1553130797,63,48.81,103.53,8.31,2.73
155,Lebu,0,ET,1553130797,56,8.96,38.73,47.64,4.85
156,Belturbet,80,GB,1553130604,88,54.1,-7.44,52.0,4.0
157,Omsukchan,36,RU,1553130798,67,62.53,155.8,-11.04,3.74
158,Severo-Yeniseyskiy,68,RU,1553130799,81,60.37,93.04,18.57,3.96
159,Elko,90,US,1553130204,30,40.83,-115.76,57.2,11.41
160,Tiarei,75,PF,1553130786,66,-17.53,-149.33,87.8,4.7
161,Hithadhoo,12,MV,1553130800,100,-0.6,73.08,84.45,4.29
162,Alvaraes,12,BR,1553130801,95,-3.22,-64.8,78.15,3.4
163,Antipino,0,RU,1553128200,79,57.11,65.76,21.2,11.18
164,Nikolskoye,75,RU,1553130653,96,59.7,30.79,34.0,6.71
165,Marsh Harbour,56,BS,1553130802,100,26.54,-77.06,70.68,17.05
166,Sola,75,NO,1553130604,93,58.89,5.65,48.2,18.34
167,Faizpur,0,IN,1553130803,59,21.16,75.86,63.84,2.84
168,Los Banos,1,US,1553130771,62,37.06,-120.85,62.6,10.29
169,Taoudenni,76,ML,1553130804,17,22.68,-3.98,60.6,4.18
170,Port Lincoln,68,AU,1553130804,87,-34.72,135.86,67.53,14.36
171,Kavaratti,0,IN,1553130805,100,10.57,72.64,82.38,3.96
172,Porto Novo,75,BR,1553126400,83,-23.68,-45.44,71.6,2.24
173,Leningradskiy,68,RU,1553130805,93,69.38,178.42,-1.59,23.98
174,Traian,75,RO,1553126400,81,43.77,25.0,46.4,4.7
175,Nichinan,75,JP,1553130788,93,31.65,131.31,68.0,1.12
176,Qaanaaq,8,GL,1553130751,99,77.48,-69.36,-31.11,7.87
177,Diamantino,0,BR,1553130809,89,-14.4,-56.44,77.79,3.85
178,Kochevo,20,BG,1553128200,87,42.1,24.92,46.4,4.7
179,Guarapari,75,BR,1553129365,78,-20.67,-40.5,82.4,10.29
180,Laukaa,0,FI,1553130283,92,62.42,25.95,30.99,8.05
181,Ilo,80,PE,1553130811,89,-17.65,-71.34,65.55,2.62
182,Kharp,24,RU,1553130811,55,66.82,65.8,6.24,5.19
183,Sosnogorsk,92,RU,1553130815,91,63.59,53.93,31.89,5.75
184,Norman Wells,40,CA,1553126400,59,65.28,-126.83,37.4,19.46
185,Wewak,36,PG,1553130815,76,-3.55,143.63,83.64,3.18
186,Cayenne,0,GF,1553128200,83,4.94,-52.33,78.8,6.93
187,Lompoc,90,US,1553130809,71,34.64,-120.46,62.6,4.7
188,Souillac,0,FR,1553130728,81,45.6,-0.6,46.0,2.24
189,Harper,1,US,1553130661,63,30.3,-99.24,64.4,6.93
190,Turkmenabat,0,TM,1553126400,93,39.09,63.58,44.6,4.7
191,Bukachacha,64,RU,1553130819,57,52.99,116.91,11.64,1.95
192,Gushikawa,75,JP,1553130790,83,26.35,127.87,77.0,11.41
193,Awjilah,0,LY,1553130820,35,29.14,21.3,71.04,13.35
194,Koplik,0,AL,1553128200,38,42.21,19.44,60.8,6.93
195,Ponnani,20,IN,1553128200,88,10.77,75.93,77.0,3.36
196,Chodavaram,36,IN,1553128200,78,17.44,81.78,75.2,5.82
197,Sitka,0,US,1553130011,29,37.17,-99.65,54.0,1.99
198,Gat,20,SN,1553128200,94,14.69,-16.54,68.0,16.11
199,Victoria,75,BN,1553128200,83,5.28,115.24,80.6,2.24
200,San Patricio,20,PY,1553130826,66,-26.98,-56.83,71.49,6.98
201,Lagoa,20,PT,1553130733,71,37.14,-8.45,57.2,4.7
202,Cumra,0,TR,1553129400,42,37.57,32.77,48.2,13.87
203,Namibe,0,AO,1553130827,100,-15.19,12.15,76.8,2.73
204,Lavrentiya,0,RU,1553130827,100,65.58,-170.99,1.02,16.49
205,Makakilo City,20,US,1553130519,44,21.35,-158.09,80.6,9.17
206,Lamar,1,US,1553125980,16,38.09,-102.62,62.6,9.17
207,Santa Isabel do Rio Negro,32,BR,1553130617,91,-0.41,-65.02,79.32,2.73
208,Erzin,0,TR,1553127600,87,36.95,36.2,54.0,2.95
209,Devils Lake,1,US,1553128500,100,48.11,-98.87,35.6,6.93
210,West Bay,75,GB,1553130825,87,50.71,-2.76,50.0,3.36
211,Weligama,20,LK,1553130748,100,5.97,80.42,76.62,6.76
212,Chicama,75,PE,1553126400,83,-7.84,-79.15,69.8,11.41
213,Alice Springs,0,AU,1553128200,18,-23.7,133.88,89.6,12.75
214,Sorland,32,NO,1553130834,94,67.67,12.69,40.8,26.11
215,Amga,0,RU,1553130835,55,60.89,131.98,-5.91,2.62
216,Vallenar,0,CL,1553130835,87,-28.58,-70.76,60.78,1.83
217,Muros,0,ES,1553130672,87,42.77,-9.06,54.0,3.36
218,Maralal,0,KE,1553130836,87,1.1,36.7,52.59,2.73
219,Blythe,20,US,1553130692,27,33.61,-114.59,75.0,13.87
220,Hohhot,20,CN,1553126400,58,40.81,111.65,24.8,6.71
221,Talnakh,88,RU,1553130839,87,69.49,88.39,20.55,25.32
222,Airai,0,TL,1553130840,75,-8.93,125.41,76.98,0.83
223,Vyazemskiy,88,RU,1553130840,67,47.53,134.76,23.16,3.96
224,Koszalin,92,PL,1553130749,91,54.19,16.18,45.0,10.0
225,Okato,0,NZ,1553130841,95,-39.19,173.88,68.79,5.86
226,Bubaque,0,GW,1553130841,100,11.28,-15.83,76.08,10.22
227,Bell Ville,80,AR,1553130843,71,-32.63,-62.69,60.42,5.64
228,West Wendover,1,US,1553126160,24,40.74,-114.07,55.4,4.7
229,The Valley,20,AI,1553130074,69,18.22,-63.06,78.8,8.05
230,Oranjemund,0,ZA,1553130845,96,-28.55,16.43,63.84,26.78
231,Berdigestyakh,0,RU,1553130845,56,62.1,126.7,-11.76,2.73
232,Bam,0,IR,1553130846,73,29.11,58.36,39.18,4.41
233,Touros,40,BR,1553130000,88,-5.2,-35.46,80.6,3.36
234,Ugoofaaru,64,MV,1553130847,96,5.67,73.0,85.35,14.03
235,Dunedin,0,NZ,1553130566,87,-45.87,170.5,63.0,8.99
236,Sur,0,OM,1553130849,97,22.57,59.53,71.04,3.96
237,Maragogi,0,BR,1553130849,80,-9.01,-35.22,82.92,14.14
238,Ust-Nera,20,RU,1553130849,65,64.57,143.24,-11.13,2.17
239,Manicore,0,BR,1553130596,90,-5.81,-61.3,78.51,2.28
240,Fortuna,0,ES,1553130827,89,38.18,-1.13,50.0,5.82
241,Vestmannaeyjar,80,IS,1553130850,90,63.44,-20.27,36.39,21.85
242,Sao Filipe,8,CV,1553130851,97,14.9,-24.5,70.77,14.03
243,Narsaq,76,GL,1553129400,85,60.91,-46.05,23.0,12.75
244,Lowicz,90,PL,1553130809,65,52.11,19.95,46.4,6.93
245,Coihaique,0,CL,1553126400,76,-45.58,-72.07,50.0,4.7
246,Maraba,0,BR,1553130000,94,-5.35,-49.1,78.8,4.7
247,Arraial do Cabo,20,BR,1553126400,74,-22.97,-42.02,80.6,10.29
248,Enshi,92,CN,1553130854,98,30.29,109.48,54.93,5.08
249,Gallup,75,US,1553129580,50,35.53,-108.74,55.4,12.75
250,Maniitsoq,12,GL,1553130854,100,65.42,-52.9,-5.37,17.05
251,Huarmey,76,PE,1553130561,67,-10.07,-78.15,71.85,3.74
252,Honningsvag,0,NO,1553127600,74,70.98,25.97,33.8,16.11
253,Sandwick,92,GB,1553130726,100,54.57,-2.89,50.0,24.16
254,Pacific Grove,1,US,1553130854,62,36.62,-121.92,60.8,10.29
255,Srednekolymsk,0,RU,1553130856,60,67.46,153.71,-6.9,3.06
256,Sangin,88,AF,1553130858,75,32.07,64.85,47.1,4.97
257,Beringovskiy,80,RU,1553130858,100,63.05,179.32,3.09,8.43
258,Mecca,0,SA,1553130595,90,21.43,39.83,62.94,2.62
259,Nouadhibou,36,MR,1553126400,93,20.93,-17.03,62.6,13.87
260,Newport,90,GB,1553130846,93,51.59,-3.0,48.99,9.17
261,Nanfeng,32,CN,1553130860,88,27.22,116.52,69.42,8.99
262,Jizan,0,SA,1553126400,78,16.89,42.56,80.6,8.05
263,Auki,88,NG,1553130861,54,12.18,6.51,79.05,6.98
264,Saldanha,0,PT,1553130861,62,41.42,-6.55,41.52,10.11
265,Yantal,76,RU,1553130862,82,56.85,105.25,20.19,5.86
266,Chalmette,1,US,1553130704,38,29.94,-89.96,66.2,5.82
267,Sao Joao da Barra,68,BR,1553130863,100,-21.64,-41.05,81.39,19.73
268,Yuanping,0,CN,1553130863,51,38.72,112.71,22.35,7.2
269,Tsaratanana,88,MG,1553130864,93,-16.8,47.65,69.24,3.18
270,Ayagoz,0,KZ,1553130864,85,47.96,80.43,12.27,12.24
271,Khatanga,68,RU,1553130864,81,71.98,102.47,13.44,10.45
272,Casteldaccia,40,IT,1553130798,82,38.05,13.53,57.99,21.92
273,Carnarvon,0,ZA,1553130865,45,-30.97,22.13,55.11,7.2
274,Komsomolskiy,80,RU,1553130865,93,67.55,63.78,28.2,11.23
275,Saint George,75,GR,1553130205,76,39.45,22.34,57.2,13.87
276,Payo,36,ID,1553130867,94,-3.75,103.64,73.29,3.4
277,Nanortalik,80,GL,1553130867,100,60.14,-45.24,29.55,26.55
278,Manokwari,36,ID,1553130867,98,-0.87,134.08,81.48,8.66
279,Mezen,20,RU,1553130868,82,65.85,44.24,23.61,5.19
280,Atar,12,MR,1553130868,22,20.52,-13.05,63.21,5.53
281,Sistranda,75,NO,1553130593,86,63.73,8.83,41.0,14.99
282,Port-Cartier,40,CA,1553130800,74,50.03,-66.88,30.2,8.05
283,Coahuayana,20,MX,1553130870,20,18.62,-100.35,82.11,2.39
284,Jiuquan,0,CN,1553130870,58,39.73,98.49,5.25,2.17
285,Longyearbyen,75,NO,1553129400,79,78.22,15.63,26.6,4.7
286,Rodbyhavn,0,DK,1553130609,98,54.65,11.35,45.0,3.0
287,Khandyga,0,RU,1553130871,54,62.65,135.58,-5.01,2.73
288,Iwanai,92,JP,1553130872,81,42.97,140.51,46.02,9.44
289,Goksun,0,TR,1553129400,81,38.02,36.5,45.0,5.82
290,Desterro,20,BR,1553130847,91,-7.29,-37.09,70.05,2.28
291,Henties Bay,8,NA,1553130142,95,-22.12,14.28,59.0,3.0
292,Mehamn,0,NO,1553127600,74,71.03,27.85,33.8,16.11
293,Faanui,0,PF,1553130875,100,-16.48,-151.75,84.81,3.06
294,Paita,76,PE,1553130875,62,-5.09,-81.11,80.67,7.87
295,Torbay,75,CA,1553130813,62,47.66,-52.73,26.01,21.92
296,Half Moon Bay,40,US,1553130865,47,37.46,-122.43,62.01,12.75
297,Margate,75,AU,1553130855,93,-43.03,147.26,63.0,10.29
298,Puerto Escondido,20,MX,1553125500,70,15.86,-97.07,84.2,6.93
299,Vaitape,12,PF,1553130879,100,-16.52,-151.75,84.09,4.07
300,Natal,20,BR,1553130000,88,-5.81,-35.21,80.6,4.7
301,Hamilton,90,BM,1553130010,82,32.3,-64.78,60.8,23.04
302,Sarlat-la-Caneda,0,FR,1553130873,86,44.89,1.22,43.0,2.24
303,Lakatoro,76,VU,1553130881,75,-16.11,167.42,86.43,5.86
304,Svetlogorsk,0,RU,1553128200,85,53.14,59.15,17.6,6.71
305,Vila,0,IT,1553130865,74,45.18,8.4,46.99,5.82
306,Xai-Xai,0,MZ,1553130883,94,-25.04,33.64,79.41,11.45
307,Cidreira,88,BR,1553130884,95,-30.17,-50.22,65.37,15.03
308,Nishihara,75,JP,1553130847,58,35.74,139.53,64.99,3.36
309,Kodinsk,88,RU,1553130885,82,58.6,99.18,21.09,4.63
310,Itarema,88,BR,1553130741,88,-2.92,-39.92,79.59,5.19
311,Tariba,75,VE,1553126400,61,7.82,-72.22,82.4,4.7
312,Pesaro,0,IT,1553130874,70,43.91,12.91,44.01,9.17
313,Nyuksenitsa,76,RU,1553130886,95,60.41,44.24,31.71,9.44
314,Goya,20,AR,1553130887,70,-29.14,-59.27,65.73,13.02
315,Sarangani,8,PH,1553130887,97,5.4,125.46,80.85,16.82
316,Patterson,1,US,1553130851,54,29.69,-91.3,66.2,3.62
317,Guabito,0,PA,1553130760,88,9.5,-82.61,77.0,3.36
318,Bilma,0,NE,1553130888,24,18.69,12.92,71.22,5.97
319,Ruteng,88,ID,1553130888,94,-8.61,120.46,75.99,4.41
320,Katobu,0,ID,1553130888,95,-4.94,122.53,83.55,3.51
321,Iracoubo,100,GF,1553130889,78,5.48,-53.21,78.69,5.41
322,Sibolga,92,ID,1553130889,100,1.74,98.78,70.32,0.72
323,Buritizeiro,44,BR,1553130890,99,-17.37,-44.96,71.31,4.07
324,Tunduma,44,ZM,1553130890,91,-9.31,32.77,61.41,2.73
325,Simao,36,CN,1553130891,64,22.76,100.79,59.61,3.74
326,Coquimbo,0,CL,1553126400,82,-29.95,-71.34,57.2,6.93
327,Chapais,90,CA,1553129220,100,49.78,-74.86,30.2,3.36
328,Brae,92,GB,1553127600,93,60.4,-1.35,48.2,28.86
329,Lingao,0,CN,1553130892,87,19.91,109.69,71.67,6.42
330,Ahipara,32,NZ,1553130893,68,-35.17,173.16,75.63,11.12
331,Hami,0,CN,1553130893,60,42.84,93.51,24.51,5.64
332,Ewa Beach,20,US,1553130519,44,21.32,-158.01,80.6,9.17
333,Petropavlovsk-Kamchatskiy,0,RU,1553128200,34,53.05,158.65,19.4,17.9
334,Peniche,0,PT,1553130639,54,39.36,-9.38,57.0,5.82
335,Constitucion,40,MX,1553130616,9,23.99,-104.67,73.4,3.36
336,Jerez,32,ES,1553130018,70,36.68,-6.14,55.4,4.7
337,Vila Velha,0,BR,1553130493,78,-3.71,-38.6,82.4,3.36
338,Monte Alegre,68,BR,1553130896,96,-2.0,-54.07,75.36,2.39
339,San Rafael del Sur,20,NI,1553126400,58,11.85,-86.44,86.0,9.17
340,Tommot,48,RU,1553130899,71,58.97,126.27,5.25,3.62
341,Hofn,8,IS,1553130900,100,64.25,-15.21,36.39,24.43
342,Kaa-Khem,0,RU,1553130901,72,51.7,94.56,8.67,4.74
343,Palafrugell,0,ES,1553130607,74,41.92,3.16,55.99,4.7
344,Altay,0,CN,1553130902,61,47.83,88.13,-3.57,2.17
345,Douglas,32,US,1553130902,26,31.34,-109.55,69.01,8.01
346,Santa Cruz,1,US,1553130683,51,36.97,-122.03,63.0,13.87
347,Vila Franca do Campo,75,PT,1553130568,87,37.72,-25.43,57.2,10.29
348,Marzuq,0,YE,1553130905,68,14.4,46.47,46.65,2.39
349,Houma,92,CN,1553130905,36,35.63,111.36,39.18,8.1
350,Pahrump,90,US,1553130624,76,36.21,-115.98,55.99,5.82
351,Kambove,56,CD,1553130905,93,-10.88,26.6,62.94,2.73
352,Boffa,44,GN,1553130906,92,10.18,-14.04,73.65,5.41
353,La Sarre,88,CA,1553130907,88,48.8,-79.2,34.41,6.76
354,Kamenka,92,RU,1553129173,76,53.19,44.05,37.99,4.97
355,Caravelas,0,BR,1553130909,100,-17.73,-39.27,83.82,9.22
356,Naryan-Mar,88,RU,1553130909,94,67.67,53.09,29.1,14.81
357,Lichinga,20,MZ,1553130909,95,-13.3,35.25,64.11,2.62
358,Harbour Breton,48,CA,1553130720,100,47.48,-55.8,27.0,23.53
359,Winfield,90,US,1553130908,93,41.41,-87.28,45.0,7.76
360,Bafoulabe,0,ML,1553130910,40,13.81,-10.83,76.35,5.75
361,Manama,92,AE,1553130253,93,25.33,56.02,69.8,6.93
362,Dnestrovsc,0,MD,1553128200,80,46.62,29.91,35.6,8.95
363,Omboue,44,GA,1553130912,100,-1.57,9.26,82.92,2.95
364,Cabra,44,ES,1553130909,75,37.47,-4.43,46.99,1.12
365,Fort Abbas,0,PK,1553130913,87,29.19,72.85,60.96,6.76
366,Hinton,0,CA,1553130212,25,53.4,-117.57,52.0,2.17
367,Hasaki,75,JP,1553130276,87,35.73,140.83,60.01,11.41
368,Kayes,0,ML,1553130915,37,14.44,-11.44,75.72,6.2
369,Pangnirtung,20,CA,1553130916,67,66.15,-65.72,-23.64,3.4
370,Santa Rosa,0,AR,1553130921,60,-36.62,-64.29,54.57,6.2
371,Udachnyy,0,RU,1553130922,49,66.42,112.4,-9.78,2.39
372,Puga,92,MX,1553130923,88,20.14,-98.07,63.84,3.18
373,Santa Cruz Cabralia,0,BR,1553130000,88,-16.28,-39.02,78.8,3.36
374,Hue,20,VN,1553128200,94,16.47,107.58,77.0,2.24
